Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Wheel Size
Maruti,Celerio ZXI,Third Party,Petrol,5,"37,471",GJ30,First Owner,998,Manual,2020,21.63,67.05,90,Jun,2020,30,5.2,Ahmedabad,
Honda,City V MT,Third Party,Petrol,5,"15,501",GJ27,First Owner,1498,Manual,2022,18.6,119.35,145,Jun,2022,15,10.48,Ahmedabad,15
Ford,Ecosport 1.5 Diesel Titanium BSIV,Third Party insurance,Diesel,5,"1,02,534",GJ05,First Owner,1498,Manual,2017,23,98.96,205,Mar,2017,60,6.98,Ahmedabad,16
Maruti,Alto 800 LXI,Third Party,Petrol,5,"35,821",GJ18,First Owner,796,Manual,2021,22.05,47.33,69,Jun,2021,20,3.81,Ahmedabad,
Maruti,Celerio ZXI MT BSIV,Third Party,Petrol,5,"35,761",GJ19,First Owner,998,Manual,2019,23.1,67.04,90,Jun,2019,40,4.78,Ahmedabad,
Maruti,Baleno 1.2 Zeta,Zero Dep,Petrol,5,"30,083",GJ01,First Owner,1197,Manual,2018,21.4,83.1,115,Jun,2018,50,6.51,Ahmedabad,16
Maruti,Baleno Zeta,Comprehensive,Petrol,5,"1,955",GJ01,First Owner,1197,Manual,2021,21.01,81.80,113,Jun,2021,20,7.51,Ahmedabad,R16
Maruti,Celerio VXI MT BSIV,Third Party,Petrol,5,"77,233",GJ01,First Owner,998,Manual,2018,23.1,67.04,90,Jun,2018,50,4.45,Ahmedabad,
Hyundai,Venue SX Sport iMT,Third Party,Petrol,5,"34,011",GJ01,First Owner,998,Manual,2020,18,118.35,171.6,Jun,2020,30,9.64,Ahmedabad,
Honda,Jazz V,Zero Dep,Petrol,5,"39,182",GJ27,First Owner,1199,Manual,2018,18.2,88.7,110,Jun,2018,50,6.57,Ahmedabad,15
Hyundai,i20 Petrol Asta,Zero Dep,Petrol,5,"66,608",GJ01,Second Owner,1197,Manual,2018,18.6,81.86,114.73,Jun,2018,50,7.3,Ahmedabad,15
Maruti,S-Presso VXI Plus 2019-2022,Third Party,Petrol,5,"16,833",GJ06,First Owner,998,Manual,2020,21.7,65.71,89,Jun,2020,30,4.49,Ahmedabad,
Hyundai,Accent Executive,Comprehensive,Petrol,5,"70,000",GJ01,First Owner,1495,Manual,2010,16.36,93.7,124.6,Feb,2010,75,2.41,Ahmedabad,13
Nissan,Sunny XL,Comprehensive,Petrol,5,"68,000",GJ01,First Owner,1498,Manual,2012,16.95,97.6,134,Feb,2012,75,3.25,Ahmedabad,
Maruti,Alto 800 LXI,Comprehensive,Petrol,5,"71,000",GJ18,First Owner,796,Manual,2015,22.74,47.3,69,Feb,2015,75,2.7,Ahmedabad,
Hyundai,i10 Magna,Comprehensive,Petrol,5,"60,000",GJ01,First Owner,1197,Manual,2012,20.36,78.9,111.7,Feb,2012,75,3.0,Ahmedabad,13
Hyundai,i20 Sportz 1.4 CRDi,Comprehensive,Diesel,5,"65,000",GJ01,First Owner,1396,Manual,2013,21.9,88.76,219.6,Feb,2013,75,4.41,Ahmedabad,14
Renault,KWID 1.0 AMT RXL,Comprehensive,Petrol,5,"52,000",GJ03,First Owner,999,Automatic,2018,24.04,67,91,Feb,2018,50,3.25,Ahmedabad,
Tata,Nano XTA,Comprehensive,Petrol,4,"26,000",GJ01,First Owner,624,Automatic,2016,21.9,37.48,51,Feb,2016,70,2.25,Ahmedabad,
Hyundai,Grand i10 1.2 CRDi Sportz,Comprehensive,Diesel,5,"73,000",GJ01,First Owner,1186,Manual,2018,24,73.97,190.24,Feb,2018,50,5.25,Ahmedabad,
Maruti,Alto 800 LXI,Third Party,Petrol,5,"27,061",GJ23,First Owner,796,Manual,2018,24.7,47.3,69,Jun,2018,50,3.26,Ahmedabad,
Hyundai,Grand i10 1.2 Kappa Magna BSIV,Comprehensive,Petrol,5,"37,199",GJ16,Second Owner,1197,Manual,2018,18.9,81.86,113.75,Jun,2018,50,5.5,Ahmedabad,
Maruti,Alto 800 VXI,Comprehensive,Petrol,5,"24,368",GJ01,First Owner,796,Manual,2021,22.05,47.33,69,Jun,2021,20,4.05,Ahmedabad,
Maruti,Alto 800 LXI,Third Party,Petrol,5,"51,530",GJ18,First Owner,796,Manual,2018,24.7,47.3,69,Jun,2018,50,3.31,Ahmedabad,
Maruti,Alto K10 VXI,Third Party,Petrol,5,"17,357",GJ10,First Owner,998,Manual,2018,23.95,67.05,90,Jun,2018,50,3.91,Ahmedabad,
Maruti,Alto 800 LXI CNG,Third Party,CNG,5,"75,079",GJ09,First Owner,796,Manual,2019,33,47.3,69,Jun,2019,40,3.99,Ahmedabad,
Hyundai,i10 Magna,Third Party,Petrol,5,"29,814",GJ05,First Owner,1197,Manual,2013,20.36,78.9,111.7,Jun,2013,75,3.3,Ahmedabad,13
Maruti,SX4 S Cross Zeta DDiS 200 SH,Comprehensive,Diesel,5,"1,44,156",GJ18,First Owner,1248,Manual,2017,25.1,88.5,200,Aug,2017,60,6.4,Ahmedabad,R16
Maruti,Baleno Alpha CVT,Third Party,Petrol,5,"23,276",GJ01,First Owner,1197,Automatic,2020,19.56,81.80,113,Jun,2020,30,8.69,Ahmedabad,R16
Hyundai,Grand i10 Sportz,Comprehensive,Petrol,5,"35,399",GJ01,First Owner,1197,Manual,2014,18.9,82,114,Jun,2014,75,4.4,Ahmedabad,
Tata,Nexon XZ 2020-2022,Comprehensive,Petrol,5,"28,687",GJ32,First Owner,1199,Manual,2021,17.57,118.36,170,Jun,2021,20,9.0,Ahmedabad,
Maruti,Wagon R ZXI 1.2,Third Party,Petrol,5,"79,893",GJ27,First Owner,1197,Manual,2019,20.52,81.80,113,Jun,2019,40,5.21,Ahmedabad,
Hyundai,Grand i10 1.2 Kappa Magna BSIV,Third Party insurance,Petrol,5,"35,000",,First Owner,1197,Manual,2017,18.9,81.86,113.75,,,60,5.5,Ahmedabad,
Mahindra,Bolero ZLX,Comprehensive,Diesel,7,"95,000",GJ16,First Owner,2523,Manual,2017,15.96,62.1,195,Aug,2017,60,7.2,Ahmedabad,
Tata,Harrier XT plus Dark Edition,Comprehensive,Diesel,5,"50,000",GJ38,First Owner,1956,Manual,2022,16.35,167.67,350,Apr,2022,15,17.9,Ahmedabad,17
Ford,Figo Petrol LXI,Third Party insurance,Petrol,5,"1,20,000",,Second Owner,1196,Manual,2010,15.6,70,102,,,75,1.2,Ahmedabad,14
Mahindra,Xylo E4,Third Party insurance,Diesel,7,"1,10,000",,Third Owner,2498,Manual,2010,14,112bhp at 3800 ,260 Nm at 1800-2200 r,,,75,2.5,Ahmedabad,15
Mercedes-Benz,GL-Class 350 CDI Luxury,Comprehensive,Diesel,7,"63,000",GJ01,Second Owner,2987,Automatic,2012,12,224,510,May,2012,75,19.0,Ahmedabad,19
Maruti,Ciaz VXi,Third Party,Petrol,5,"40,000",,Second Owner,1373,Manual,2016,20.73,91.1,130,,,70,6.5,Ahmedabad,
Maruti,SX4 S Cross DDiS 320 Alpha,Comprehensive,Diesel,5,"64,000",GJ36,First Owner,1598,Manual,2016,22.7,118,320,Feb,2016,70,5.95,Ahmedabad,16
Hyundai,Creta 1.6 SX Option,Third Party insurance,Petrol,5,"1,26,056",GJ32,First Owner,1591,Manual,2019,15.8,121.3,151,May,2019,40,10.95,Ahmedabad,17
Maruti,Vitara Brezza LXI,Third Party,Petrol,5,"38,425",GJ01,First Owner,1462,Manual,2020,17.03,103.26,138,Jun,2020,30,8.07,Ahmedabad,
Maruti,Ignis 1.2 Alpha BSIV,Zero Dep,Petrol,5,"58,409",GJ06,Second Owner,1197,Manual,2017,20.89,81.80,113,Jun,2017,60,4.47,Ahmedabad,15
Maruti,Alto K10 VXI,Third Party,Petrol,5,"34,017",GJ38,First Owner,998,Manual,2018,23.95,67.05,90,Jun,2018,50,3.74,Ahmedabad,
Maruti,Swift LXI,Comprehensive,Petrol,5,"13,006",GJ06,First Owner,1197,Manual,2018,21.21,81.80,113,Jun,2018,50,5.5,Ahmedabad,
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"25,533",GJ01,First Owner,998,Manual,2018,20.51,67.04,90,Jun,2018,50,4.53,Ahmedabad,
Hyundai,Santro Sportz BSIV,Third Party,Petrol,5,"8,451",GJ05,First Owner,1086,Manual,2019,20.3,68,99,Jun,2019,40,4.83,Ahmedabad,
Maruti,Swift Dzire VXI,Comprehensive,Petrol,5,"45,488",GJ06,First Owner,1197,Manual,2020,22.41,88.50,113,Jun,2020,30,7.02,Ahmedabad,
Maruti,Swift VXI,Third Party,Petrol,5,"81,772",GJ06,Second Owner,1197,Manual,2013,18.6,85.8,114,Jun,2013,75,3.88,Ahmedabad,14
Maruti,SX4 S Cross Delta,Third Party,Petrol,5,"30,203",GJ06,First Owner,1462,Manual,2020,18.55,103.25,138,Jun,2020,30,9.32,Ahmedabad,16
Volkswagen,Vento 1.5 TDI Highline,Third Party insurance,Diesel,5,"1,47,098",GJ01,First Owner,1498,Manual,2016,22.27,108.6,250,Mar,2017,70,5.4,Ahmedabad,15
Maruti,S-Presso VXI Opt 2019-2022,Comprehensive,Petrol,5,"5,562",GJ17,First Owner,998,Manual,2022,21.7,67.05,90,Jun,2022,15,4.86,Ahmedabad,
Renault,Fluence Diesel E4,Third Party insurance,Diesel,5,"2,30,000",,Fourth Owner,1461,Manual,2012,21.8,78,240 ,,,75,3.5,Ahmedabad,16
Hyundai,Creta 1.6 CRDi AT SX Plus,Third Party insurance,Diesel,5,"70,000",,Second Owner,1582,Automatic,2016,17.01,126.2,259.9,,,70,10.99,Ahmedabad,17
Kia,Seltos GTX Plus Diesel AT,Comprehensive,Diesel,5,"42,000",GJ38,First Owner,1493,Automatic,2020,18,113.43,250,Sept,2020,30,16.0,Ahmedabad,17
Honda,City S,Third Party insurance,Petrol,5,"48,000",GJ17,First Owner,1497,Manual,2012,16.8,116.4,146,Oct,2012,75,4.0,Ahmedabad,15
Honda,City S,Third Party insurance,Petrol,5,"60,000",GJ01,First Owner,1497,Manual,2013,16.8,116.4,146,Jan,2013,75,4.25,Ahmedabad,15
Renault,KWID RXL,Third Party insurance,Petrol,5,"80,000",,First Owner,799,Manual,2017,25.17,53.3,72,,,60,2.5,Ahmedabad,
Volkswagen,Vento 1.6 Highline BSIV,Third Party insurance,Petrol,5,"60,000",,First Owner,1598,Manual,2020,16.09,103.2,153,,,30,7.3,Ahmedabad,15
Honda,City i VTEC V,Third Party insurance,Petrol,5,"60,000",,Second Owner,1497,Manual,2017,17.8,117.3,145,,,60,7.5,Ahmedabad,15
Honda,Jazz 1.2 V AT i VTEC,Zero Dep,Petrol,5,"94,414",GJ01,First Owner,1199,Automatic,2017,19,88.7,110,Jun,2017,60,6.04,Ahmedabad,15
Hyundai,Verna 1.6 SX VTVT AT,Third Party insurance,Petrol,5,"1,48,442",GJ01,Second Owner,1591,Automatic,2014,15.74,121.3,154.9,May,2014,75,4.48,Ahmedabad,16
Hyundai,i10 Magna,Third Party,Petrol,5,"39,117",GJ06,First Owner,1197,Manual,2013,20.36,78.9,111.7,Jun,2013,75,3.3,Ahmedabad,13
Hyundai,i20 Sportz Plus BSIV,Zero Dep,Petrol,5,"61,247",GJ18,First Owner,1197,Manual,2019,18.6,81.86,117,Jun,2019,40,6.89,Ahmedabad,15
