Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,RTO,Wheel Size
Maruti,Baleno 1.2 Alpha,Third Party,Petrol,5,"39,689",First Owner,1197,Manual,2018,21.4,83.1,115,Jun,2018,50,6.4,Kolkata,WB08,16
Maruti,Baleno 1.2 Alpha,Third Party,Petrol,5,"65,320",Second Owner,1197,Manual,2016,21.4,83.1,115,Jun,2016,70,4.74,Kolkata,WB02,16
Honda,Jazz 1.5 V i DTEC,Comprehensive,Diesel,5,"67,057",First Owner,1498,Manual,2018,27.3,98.6,200,Jun,2018,50,5.36,Kolkata,WB18,15
Maruti,Ciaz VXi,Third Party,Petrol,5,"66,659",Second Owner,1373,Manual,2015,20.73,91.1,130,Jun,2015,75,4.48,Kolkata,WB26,
Ford,Ecosport 1.5 TDCi Titanium BSIV,Third Party,Diesel,5,"75,154",First Owner,1498,Manual,2015,22.77,98.59,205,Jun,2015,75,4.79,Kolkata,WB34,16
Ford,Ecosport 1.5 Diesel Titanium Plus BSIV,Third Party,Diesel,5,"38,447",First Owner,1498,Manual,2019,23,98.96,205,Jun,2019,40,7.65,Kolkata,WB02,16
Toyota,Corolla Altis 1.8 Limited Edition,Comprehensive,Petrol,5,"53,000",First Owner,1798,Manual,2015,14.28,138.03,173,Nov,2015,75,5.75,Kolkata,WB02,15
Mahindra,Thar LX 4-Str Convert Top Diesel AT,Comprehensive,Diesel,4,"10,047",First Owner,2184,Automatic,2021,,130,300,May,2021,20,14.11,Kolkata,WB02,18
Mahindra,KUV 100 NXT G80 K4 Plus 5Str,Available,Petrol,5,"20,000",Second Owner,1198,Manual,2017,18.15,82,115,,,60,2.3,Kolkata,,
Tata,Tiago XZ Plus,Third Party insurance,Petrol,5,"25,000",First Owner,1199,Manual,2021,19.01,84.82,113,,,20,6.5,Kolkata,,15
Hyundai,Verna CRDi 1.6 SX Option,Third Party insurance,Diesel,5,"30,000",Third Owner,1582,Manual,2018,22,126.2,259.87,,,50,8.75,Kolkata,,16
Hyundai,Grand i10 1.2 Kappa Asta,Third Party insurance,Petrol,5,"30,000",First Owner,1197,Manual,2019,18.9,81.86,113.75,,,40,5.1,Kolkata,,14
Tata,Tiago XZA Plus AMT,Available,Petrol,5,"35,000",First Owner,1199,Automatic,2021,19,84.82,113,,,20,6.4,Kolkata,,15
Mahindra,Quanto C8,Available,Diesel,7,"1,39,133",Second Owner,1493,Manual,2013,17.21,100,240,,,75,2.0,Kolkata,,15
Kia,Sonet GTX Plus Turbo iMT,Third Party,Petrol,5,"20,709",Second Owner,998,Manual,2020,18.2,118.36,172,Jun,2020,30,10.84,Kolkata,WB12,16
Honda,Amaze EX i-Dtech,Third Party,Diesel,5,"75,360",Second Owner,1498,Manual,2013,25.8,98.6,200,Jun,2013,75,2.94,Kolkata,WB02,
Hyundai,i20 Magna 1.2,Zero Dep,Petrol,5,"41,782",Second Owner,1197,Manual,2015,18.6,81.83,114.7,Jun,2015,75,4.08,Kolkata,WB06,
Skoda,Rapid 1.0 TSI Ambition AT,Third Party,Petrol,5,"13,677",First Owner,999,Automatic,2020,16.24,108.62,175,Jun,2020,30,9.74,Kolkata,WB02,R15
Maruti,Vitara Brezza ZDi Plus Dual Tone,Third Party,Diesel,5,"74,226",First Owner,1248,Manual,2016,24.3,88.5,200,Jun,2016,70,5.79,Kolkata,WB08,16
Skoda,Rapid 1.6 MPI Ambition Plus Alloy,Third Party,Petrol,5,"91,539",Second Owner,1598,Manual,2013,15,103.5,153,Jun,2013,75,4.11,Kolkata,WB02,14
Toyota,Corolla Altis 1.8 VL CVT,Comprehensive,Petrol,5,"34,174",Second Owner,1798,Automatic,2018,14.28,138.03,173,Jun,2018,50,13.48,Kolkata,WB06,16
Kia,Seltos HTX Diesel,Comprehensive,Diesel,5,"16,242",First Owner,1493,Manual,2021,20.8,113.43,250,Jan,2021,20,14.15,Kolkata,WB20,17
Hyundai,i10 Era 1.1 iTech SE,Third Party,Petrol,5,"33,821",First Owner,1086,Manual,2011,19.81,68.05,99.04,Jun,2011,75,1.84,Kolkata,WB06,13
Maruti,Alto 800 LXI,Third Party,Petrol,5,"7,355",First Owner,796,Manual,2016,22.74,47.3,69,Jun,2016,70,2.77,Kolkata,WB24,
Maruti,Alto 800 LXI,Third Party,Petrol,5,"14,213",First Owner,796,Manual,2020,22.05,47.33,69,Jun,2020,30,3.09,Kolkata,WB24,
Maruti,Alto 800 LXI,Comprehensive,Petrol,5,"10,849",First Owner,796,Manual,2020,22.05,47.33,69,Jun,2020,30,3.31,Kolkata,WB16,
Mahindra,Quanto C8,Available,Diesel,7,"1,39,133",Second Owner,1493,Manual,2013,17.21,100,240,,,75,2.0,Kolkata,,15
Maruti,Alto K10 VXI,Third Party insurance,Petrol,5,"50,000",Second Owner,998,Manual,2015,23.95,67.05,90,,,75,2.0,Kolkata,,
Tata,Sumo CX,Third Party,Diesel,8,"1,20,000",First Owner,2179,Manual,2009,14.4,,25,,,75,2.0,Kolkata,,
Maruti,Wagon R VXI,Third Party insurance,Petrol,5,"35,000",First Owner,998,Manual,2019,21.79,67.05,90,,,40,4.35,Kolkata,,
Honda,Jazz 1.5 VX i DTEC,Comprehensive,Diesel,5,"90,000",First Owner,1498,Manual,2015,27.3,98.6,200,,,75,4.1,Kolkata,,15
Hyundai,i20 Asta 1.4 CRDi,Third Party insurance,Diesel,5,"70,000",Second Owner,1396,Manual,2013,21.27,88.76,219.6,,,75,2.35,Kolkata,,14
Renault,Lodgy Stepway 85PS RXL 8S,Third Party,Diesel,8,"30,000",First Owner,1461,Manual,2019,21.04,83.8,200,,,40,7.5,Kolkata,,
Jeep,Compass 2.0 Limited Option,Third Party insurance,Diesel,5,"58,000",First Owner,1956,Manual,2018,17.1,170,350,Jun,2018,50,11.81,Kolkata,WB26,17
Maruti,Alto 800 VXI,Comprehensive,Petrol,5,"9,030",First Owner,796,Manual,2019,22.05,47.33,69,Jun,2019,40,3.76,Kolkata,WB02,
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Comprehensive,Petrol,5,"31,367",First Owner,1197,Manual,2019,18.9,81.86,113.75,Apr,2019,40,4.93,Kolkata,WB02,
Kia,Seltos HTK Plus D,Comprehensive,Diesel,5,"31,588",First Owner,1493,Manual,2020,20.8,113.43,250,Mar,2020,30,13.66,Kolkata,WB12,16
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Comprehensive,Petrol,5,"35,781",First Owner,1197,Manual,2018,18.9,81.86,113.75,Jul,2018,50,4.35,Kolkata,WB54,
Maruti,Alto 800 LXI,Third Party,Petrol,5,"62,124",First Owner,796,Manual,2014,22.74,47.3,69,Jun,2014,75,1.94,Kolkata,WB06,
Hyundai,EON Era Plus,Comprehensive,Petrol,5,"46,464",First Owner,814,Manual,2017,21.1,55.2,74.5,Jun,2017,60,2.49,Kolkata,WB02,
Maruti,Alto 800 LXI,Third Party,Petrol,5,"18,190",First Owner,796,Manual,2017,24.7,47.3,69,Jun,2017,60,2.84,Kolkata,WB12,
Maruti,Alto 800 LXI,Comprehensive,Petrol,5,"12,026",First Owner,796,Manual,2020,22.05,47.33,69,Jun,2020,30,3.34,Kolkata,WB06,
Maruti,Alto 800 VXI,Comprehensive,Petrol,5,"3,900",First Owner,796,Manual,2018,24.7,47.3,69,Jun,2018,50,3.02,Kolkata,WB10,
Maruti,Alto 800 VXI,Third Party,Petrol,5,"5,195",First Owner,796,Manual,2021,22.05,47.33,69,Jun,2021,20,3.88,Kolkata,WB26,
Hyundai,Creta 1.6 SX Automatic Diesel,Comprehensive,Diesel,5,"56,907",First Owner,1582,Automatic,2018,17.6,126.2,259.87,Jun,2018,50,10.33,Kolkata,WB08,17
Maruti,Wagon R LXI BS IV,Comprehensive,Petrol,5,"46,816",First Owner,998,Manual,2013,18.9,67.1,90,Jun,2013,75,2.37,Kolkata,WB02,13
Honda,Mobilio S i-DTEC,Third Party insurance,Diesel,7,"85,000",Second Owner,1498,Manual,2015,24.2,98.6,200,,,75,4.0,Kolkata,,
Hyundai,Verna 1.6 SX CRDi (O),Third Party insurance,Diesel,5,"60,000",Second Owner,1582,Manual,2012,22.32,126.32,259.8,,,75,3.1,Kolkata,,16
Ford,Ecosport 1.5 Diesel Titanium BSIV,Third Party insurance,Diesel,5,"42,000",Second Owner,1498,Manual,2018,23,98.96,205,,,50,6.25,Kolkata,,16
Ford,Figo 1.2P Ambiente ABS MT,Third Party insurance,Petrol,5,"10,000",First Owner,1196,Manual,2018,18.16,86.8,112,,,50,3.2,Kolkata,,
Maruti,Ciaz 1.4 Delta,Comprehensive,Petrol,5,"38,000",First Owner,1373,Manual,2017,20.73,91.1,130,Nov,2017,60,5.1,Kolkata,WB02,
Nissan,Sunny XV,Third Party insurance,Petrol,5,"80,000",Second Owner,1498,Manual,2011,16.95,97.7,134,,,75,1.6,Kolkata,,15
Maruti,Swift VXI 2018,Third Party insurance,Petrol,5,"50,000",First Owner,1197,Manual,2019,22,81.80,113,,,40,4.4,Kolkata,,
Maruti,SX4 S Cross Zeta DDiS 200 SH,Third Party insurance,Diesel,5,"35,000",First Owner,1248,Manual,2018,25.1,88.5,200,,,50,7.9,Kolkata,,R16
Maruti,Alto 800 LXI,Third Party,Petrol,5,"23,380",First Owner,796,Manual,2016,22.74,47.3,69,Jun,2016,70,2.6,Kolkata,WB06,
Maruti,Alto 800 LXI,Third Party,Petrol,5,"45,898",First Owner,796,Manual,2016,22.74,47.3,69,Jun,2016,70,2.56,Kolkata,WB06,
Hyundai,Creta 1.6 SX Automatic Diesel,Third Party,Diesel,5,"37,362",First Owner,1582,Automatic,2018,17.6,126.2,259.87,Jun,2018,50,10.73,Kolkata,WB08,17
Maruti,Alto K10 VXI AMT,Third Party,Petrol,5,"44,012",First Owner,998,Automatic,2018,23.95,67.05,90,Jun,2018,50,3.45,Kolkata,WB02,
Maruti,Baleno 1.2 Zeta,Comprehensive,Petrol,5,"12,423",First Owner,1197,Manual,2019,21.4,83.1,115,Jun,2019,40,6.28,Kolkata,WB10,16
Maruti,Alto 800 LXI,Third Party,Petrol,5,"34,876",First Owner,796,Manual,2017,24.7,47.3,69,Jun,2017,60,2.73,Kolkata,WB12,
