Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Mileage (in kmpl)
BMW,3 Series 320i Sedan,Third Party,Petrol,5,"58,000",,Second Owner,1995,Automatic,2007,154,200,16,,,75,7.0,Bangalore,12.05
Maruti,Vitara Brezza LDi,Third Party insurance,Diesel,5,"1,10,000",,Second Owner,1248,Manual,2016,88.5,200,,,,70,6.0,Bangalore,24.3
Hyundai,Creta 1.6 CRDi SX Option,Third Party insurance,Diesel,5,"1,10,000",,First Owner,1582,Manual,2017,126.2,259.9,17,,,60,9.5,Bangalore,19.67
Hyundai,i20 Active 1.2 SX with AVN,Third Party insurance,Petrol,5,"90,000",N/A,Second Owner,1197,Manual,2017,81.86,114.73,16,,,60,6.1,Bangalore,17.19
Renault,KWID 1.0 RXT Optional,Comprehensive,Petrol,5,"42,453",TS07,First Owner,999,Manual,2017,67,91,,Jun,2017,60,3.51,Bangalore,23.01
Maruti,S-Presso VXI Plus 2019-2022,Third Party,Petrol,5,"33,393",TS11,First Owner,998,Manual,2019,65.71,89,,Jun,2019,40,4.59,Bangalore,21.7
Maruti,Swift Dzire ZXI,Comprehensive,Petrol,5,"64,883",TS08,First Owner,1197,Manual,2016,83.14,115,15,Jun,2016,70,6.53,Bangalore,20.85
Volkswagen,Polo 1.0 MPI Comfortline,Third Party,Petrol,5,"56,824",TS04,First Owner,999,Manual,2018,75,95,,Jun,2018,50,6.55,Bangalore,18.78
Hyundai,Venue SX Turbo,Comprehensive,Petrol,5,"37,138",TS19,First Owner,998,Manual,2020,118.35,172,,Jun,2020,30,11.53,Bangalore,18.27
Maruti,Swift Dzire AMT ZXI BS IV,Third Party,Petrol,5,"62,411",TS09,First Owner,1197,Automatic,2017,81.80,113,15,Jun,2017,60,7.16,Bangalore,22
Honda,City V CVT,Third Party,Petrol,5,"64,266",TS09,First Owner,1498,Automatic,2021,119.35,145,15,Jun,2021,20,12.01,Bangalore,18.3
Maruti,Swift Dzire VXI,Third Party,Petrol,5,"40,848",TS08,Second Owner,1197,Manual,2020,88.50,113,,Jun,2020,30,6.8,Bangalore,22.41
