Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City
Honda,City 1.5 V AT,Comprehensive,Petrol,5,"78,352",KA05,First Owner,1497,Automatic,2010,16.8,"118PS at 6,600 ",146Nm at 4800 r,15,Jun,2010,75,4.6,Bangalore
Toyota,Corolla Altis G,Comprehensive,Petrol,5,"1,20,254",KA04,First Owner,1798,Manual,2011,14.53,138.1,173,15,Feb,2011,75,4.7,Bangalore
Toyota,Innova 2.5 G4 Diesel 7-seater,Third Party insurance,Diesel,7,"1,20,000",,Second Owner,2494,Manual,2010,12.8,,20,15,,,75,6.0,Bangalore
Maruti,Swift ZDI BSIV,Comprehensive,Diesel,5,"93,663",KA51,Second Owner,1248,Manual,2017,25.2,74,190,15,Jun,2017,60,6.3,Bangalore
Toyota,Glanza V,Third Party,Petrol,5,"27,054",KA04,First Owner,1197,Manual,2020,21.01,81.80,113,R16,Jun,2020,30,8.45,Bangalore
Honda,WR-V i-VTEC VX,Comprehensive,Petrol,5,"80,698",KA13,Second Owner,1199,Manual,2017,17.5,88.7,110,16,Jun,2017,60,7.24,Bangalore
Mahindra,XUV500 W6 2WD,Third Party,Diesel,7,"21,485",KA05,First Owner,2179,Manual,2017,16,140,330,,Jun,2017,60,12.58,Bangalore
Hyundai,Santro Magna,Zero Dep,Petrol,5,"35,963",KL34,First Owner,1086,Manual,2020,20.3,68.05,99,,Jun,2020,30,4.57,Bangalore
Renault,Duster Petrol RXS CVT,Comprehensive,Petrol,5,"68,945",KA01,First Owner,1498,Automatic,2017,14.99,104.5,142,,Jun,2017,60,7.71,Bangalore
Renault,Duster Petrol RXS CVT,Third Party,Petrol,5,"39,622",KA03,Second Owner,1498,Automatic,2017,14.99,104.5,142,,Jun,2021,60,7.56,Bangalore
Renault,KWID 1.0 RXT Optional,Third Party,Petrol,5,"51,990",KA02,First Owner,999,Manual,2016,23.01,67,91,,Jun,2016,70,4.09,Bangalore
Honda,City i VTEC VX,Third Party,Petrol,5,"57,860",KA05,First Owner,1497,Manual,2017,17.8,117.3,145,15,Jun,2017,60,9.06,Bangalore
