Brand,Insurance Validity,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement (in cc),Transmission,Mileage (in kmpl),Max Power (in bhp),Wheel Size,Registration Month,Registration Year,Price (in lacs),City
BMW,Third Party insurance,Diesel,5.0,28000.0,Second Owner,1995.0,Automatic,22.69,190.0,16,Oct,2016.0,19.75,Jaipur
Maruti,Third Party,Petrol,5.0,57085.0,Second Owner,1197.0,Manual,21.4,83.1,,Jun,2016.0,4.96,Delhi
Mahindra,Not Available,Diesel,7.0,106673.0,First Owner,2498.0,Manual,14.0,112.0,15,Mar,2011.0,2.45,Ahmedabad
Skoda,Third Party insurance,Petrol,5.0,30000.0,Second Owner,1598.0,Manual,15.0,103.5,14,,,3.2,Mumbai
Honda,Third Party,Petrol,5.0,96695.0,First Owner,1497.0,Automatic,17.4,117.6,16,Jun,2019.0,9.99,Hyderabad
Honda,Third Party,Petrol,5.0,30624.0,First Owner,1198.0,Manual,18.5,86.8,14,Jun,2016.0,4.92,Bangalore
Renault,Third Party,Diesel,5.0,63666.0,First Owner,1461.0,Manual,19.87,83.8,16,May,2016.0,5.5,Ahmedabad
Toyota,Comprehensive,Petrol,5.0,37615.0,Second Owner,1496.0,Automatic,17.8,105.94,R15,Jan,2020.0,11.6,Bangalore
Hyundai,Third Party,Petrol,5.0,73980.0,Third Owner,1197.0,Manual,17.0,80.0,14,Jun,2012.0,3.9,Bangalore
Tata,Third Party,Petrol,5.0,32210.0,First Owner,1199.0,Manual,19.33,86.83,16,Jun,2020.0,7.55,Delhi
Hyundai,Third Party insurance,Diesel,5.0,120000.0,First Owner,1396.0,Manual,23.0,90.0,14,,,4.0,Bangalore
Skoda,Not Available,Diesel,5.0,91965.0,Second Owner,1968.0,Automatic,17.0,14.0,16,Jun,2012.0,5.97,Hyderabad
Maruti,Not Available,Petrol,5.0,55976.0,Second Owner,1197.0,Manual,21.21,81.8,,Sept,2017.0,5.5,Ahmedabad
Hyundai,Third Party,Diesel,5.0,50476.0,First Owner,1396.0,Manual,22.54,88.73,,Aug,2017.0,5.61,Ahmedabad
Toyota,Not Available,Diesel,7.0,33628.0,First Owner,2393.0,Manual,13.68,147.8,16,May,2017.0,15.0,Hyderabad
Maruti,Third Party,Diesel,5.0,50343.0,First Owner,1248.0,Automatic,24.3,88.5,16,Jun,2018.0,8.52,Delhi
Maruti,Comprehensive,Diesel,5.0,30333.0,First Owner,1248.0,Manual,24.3,88.5,,Jun,2017.0,8.45,Bangalore
Honda,Third Party insurance,Petrol,5.0,57000.0,First Owner,1198.0,Manual,19.4,86.8,14,Jul,2015.0,3.85,Mumbai
Hyundai,Third Party,Petrol,5.0,42399.0,First Owner,,Manual,,,13,Apr,2003.0,1.01,Kolkata
Toyota,Third Party insurance,Diesel,7.0,115000.0,Second Owner,2982.0,Manual,13.0,168.5,17,Mar,2012.0,12.5,Mumbai
Toyota,Comprehensive,Petrol,5.0,21000.0,First Owner,1462.0,Manual,17.03,103.26,16,May,2022.0,8.75,Kolkata
Hyundai,Comprehensive,Petrol,5.0,22736.0,First Owner,1086.0,Manual,19.81,68.05,,Jan,2010.0,1.57,Delhi
Maruti,Third Party,Petrol,5.0,16038.0,First Owner,1462.0,Manual,21.56,103.25,16,Jan,2020.0,10.0,Bangalore
Maruti,Third Party,Petrol,5.0,52818.0,First Owner,1462.0,Manual,21.56,103.25,16,Jun,2018.0,8.67,Delhi
Toyota,Comprehensive,Diesel,5.0,96000.0,Second Owner,1364.0,Manual,23.59,67.04,15,Mar,2013.0,4.15,Jaipur
